,x mape,logx mape,1/x mape
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
CG,0.0,0.0,0.0
CONJ_GRAD,0.0,0.0,0.0
ICNVRT,19.300827478000578,9.589617808669686,20.926071079316802
INITIALIZE_MPI,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),6.918261603219529,9.792420561581451,8.39288122194172
MPI_Reduce(),0.0,0.0,0.0
MPI_Send(),6.918261603219529,9.792420561581451,8.39288122194172
MPI_Wait(),6.918261603219529,9.792420561581451,8.39288122194172
SETUP_PROC_INFO,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0
SPRNVC,16.1779777527809,7.99968321779567,17.291771695457346
VECSET,16.1779777527809,7.99968321779567,17.291771695457346
