,x r2,logx r2,1/x r2,x mae,logx mae,1/x mae,x mse,logx mse,1/x mse,x rmse,logx rmse,1/x rmse
.TAU_application,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONJ_GRAD,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICNVRT,-5.0462275697188845,-0.2202159804778978,-213.38659268860192,1225306.7915648473,609785.5551478592,4984091.4901808165,3596449221675.654,725815355552.3494,127522572632585.56,1896430.653009926,851947.9770222765,11292589.279371917
INITIALIZE_MPI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAKEA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Init(),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Irecv(),-1.069433232717401,0.821636713381287,-86.75366294784843,3935.579992156154,1934.3753188415649,22265.664163118385,63533503.407638684,5475916.931761734,2694118155.5342593,7970.7906388035735,2340.06771948201,51904.895294512055
MPI_Reduce(),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPI_Send(),-1.069433232717401,0.821636713381287,-86.75366294784843,3935.579992156154,1934.3753188415649,22265.664163118385,63533503.407638684,5475916.931761734,2694118155.5342593,7970.7906388035735,2340.06771948201,51904.895294512055
MPI_Wait(),-1.069433232717401,0.821636713381287,-86.75366294784843,3935.579992156154,1934.3753188415649,22265.664163118385,63533503.407638684,5475916.931761734,2694118155.5342593,7970.7906388035735,2340.06771948201,51904.895294512055
SETUP_PROC_INFO,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPARSE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRNVC,-5.046226492452985,-0.06751890852716969,-42.141080931535384,41207.34908136483,19360.2125428079,96487.17334551108,4067556885.1137705,718165932.3858998,29022862605.850628,63777.40105330234,26798.618105900532,170360.9773564669
VECSET,-5.046226492452985,-0.06751890852716969,-42.141080931535384,41207.34908136483,19360.2125428079,96487.17334551108,4067556885.1137705,718165932.3858998,29022862605.850628,63777.40105330234,26798.618105900532,170360.9773564669
